Dataset,X_Value,Y_Value,Series,Notes
Figure_4.4_Near_field,0,100000,dp/p,Near-field signature r/L=1 JWB
Figure_4.4_Near_field,5,200000,dp/p,
Figure_4.4_Near_field,10,400000,dp/p,
Figure_4.4_Near_field,15,600000,dp/p,
Figure_4.4_Near_field,20,700000,dp/p,Peak
Figure_4.4_Near_field,25,400000,dp/p,
Figure_4.4_Near_field,30,0,dp/p,
Figure_4.4_Near_field,32,200000,dp/p,
Figure_4.4_Near_field,34,700000,dp/p,Sharp spike
Figure_4.4_Near_field,35,100000,dp/p,
Figure_4.4_Near_field,36,300000,dp/p,
Figure_4.4_Near_field,37,100000,dp/p,
Figure_4.4_Near_field,40,0,dp/p,
Figure_4.4_Near_field,45,200000,dp/p,
Figure_4.4_Near_field,60,200000,dp/p,
